n_estimators,max_depth,oob_score,random_state,verbose,class_weight,max_features,n_jobs,data,ckpt
100,32,0.6371773037479936,42,3,balanced,log2,7,s-scaler-pca50-mfcc,ckpts\rfc_clf_7.sav
100,32,0.6371773037479936,42,3,balanced,log2,7,stft+mfcc,ckpts\rfc_clf_7.sav
100,32,0.5974061776345614,42,3,balanced,random20,7,mfcc,ckpts\rfc_clf_7.sav
100,32,0.6395848904027347,42,3,balanced,log2,-1,mfcc,ckpts\rfc_clf_6.sav
50,32,0.1466790006983839,42,3,balanced,log2,-1,zerox-36-43,ckpts\rfc_clf_5.sav
50,32,0.4142886898562799,42,3,balanced,log2,-1,stft-1-36,ckpts\rfc_clf_4.sav
50,32,0.5736488721712388,42,3,balanced,log2,-1,mfcc,ckpts\rfc_clf_3.sav
50,32,0.16957251552985286,42,3,balanced,log2,-1,s-rolloff-50-57,ckpts\rfc_clf_2.sav
50,32,0.1419679723586998,42,3,balanced,log2,-1,s-centroid-43-50,ckpts\rfc_clf_1.sav
50,32,0.5724726466299913,42,3,balanced,log2,-1,,ckpts\rfc_clf_3.pkl
25,32,0.48671232708871925,42,3,balanced,log2,-1,,ckpts\rfc_clf_2.pkl
25,16,0.22905767180856929,42,3,balanced,log2,-1,,ckpts\rfc_clf_1.pkl
10,,0.42531580430547555,42,3,balanced,log2,-1,,ckpts\rfc_clf_0.pkl
